Race,Lap,Position,Overtaker,Overtaken,Turn,Year,Session
China,14,13,Hulkenberg,Leclerc,14,2018,R
China,14,14,Hulkenberg,Gasly,6,2018,R
China,14,17,Ocon,Ericsson,14,2018,R
China,15,15,Sainz,Gasly,14,2018,R
China,16,15,Sainz,Leclerc,14,2018,R
China,19,6,Ricciardo,Magnussen,5,2018,R
China,21,10,Hulkenberg,Vandoorne,14,2018,R
China,22,9,Hulkenberg,Stroll,14,2018,R
China,24,16,Vandoorne,Stroll,2,2018,R
China,25,12,Grosjean,Sirotkin,14,2018,R
China,27,1,Bottas,Raikkonen,2,2018,R
China,36,12,Ocon,Vandoorne,7,2018,R
China,36,14,Perez,Stroll,2,2018,R
China,36,15,Gasly,Stroll,7,2018,R
China,37,5,Ricciardo,Raikkonen,14,2018,R
China,40,3,Ricciardo,Hamilton,14,2018,R
China,42,2,Ricciardo,Vettel,14,2018,R
China,42,4,Verstappen,Hamilton,6,2018,R
China,44,6,Hulkenberg,Vettel,1,2018,R
China,45,1,Ricciardo,Bottas,6,2018,R
China,48,4,Verstappen,Hamilton,6,2018,R
China,55,7,Alonso,Vettel,3,2018,R
Azerbaijan,6,4,Verstappen,Ricciardo,2,2018,R
Azerbaijan,6,5,Sainz,Ricciardo,2,2018,R
Azerbaijan,6,7,Gasly,Hulkenberg,1,2018,R
Azerbaijan,6,8,Gasly,Stroll,1,2018,R
Azerbaijan,6,8,Stroll,Hulkenberg,1,2018,R
Azerbaijan,6,8,Hulkenberg,Stroll,4,2018,R
Azerbaijan,6,15,Magnussen,Perez,1,2018,R
Azerbaijan,8,12,Vandoorne,Grosjean,1,2018,R
Azerbaijan,8,12,Grosjean,Vandoorne,3,2018,R
Azerbaijan,9,4,Sainz,Verstappen,1,2018,R
Azerbaijan,9,6,Hulkenberg,Ricciardo,2,2018,R
Azerbaijan,9,10,Raikkonen,Gasly,3,2018,R
Azerbaijan,10,13,Perez,Vandoorne,1,2018,R
Azerbaijan,11,16,Ericsson,Magnussen,1,2018,R
Azerbaijan,15,4,Verstappen,Sainz,20,2018,R
Azerbaijan,15,8,Raikkonen,Stroll,1,2018,R
Azerbaijan,17,6,Raikkonen,Leclerc,1,2018,R
Azerbaijan,18,16,Gasly,Ericsson,20,2018,R
