Race,Lap,Position,Overtaker,Overtaken,Turn,Year,Session,OvertakerNumber,OvertakenNumber,NormalizedPosition,X,Y,CornerAngle,AverageCornerSpeed,SpeedDelta,DistanceDelta,isOvertakerSoft,isOvertakenSoft,isOvertakerMedium,isOvertakenMedium,isOvertakerHard,isOvertakenHard,isOvertakerWet,isOvertakenWet,isOvertakerIntermediate,isOvertakenIntermediate,OvertakerTyreLife,OvertakenTyreLife,IsOvertakerFreshTyre,IsOvertakenFreshTyre,OvertakeHappened
China,14,13,Hulkenberg,Leclerc,14,2018,R,27,16,0.65,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,-0.08477096496690245,-0.42323194966503985,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644444465637207,0.7111111283302307,0.0,1.0,1
China,14,14,Hulkenberg,Gasly,6,2018,R,27,10,0.7,-6594.7578125,3667.179443359375,0.2878258674113974,-0.9804815192242364,1.2779372176587875,-0.41734541894279625,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644444465637207,0.7111111283302307,0.0,1.0,1
China,14,17,Ocon,Ericsson,14,2018,R,31,9,0.85,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,-0.27659283935812395,0.1835899274819989,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717391312122345,0.7111111283302307,1.0,1.0,1
China,15,15,Sainz,Gasly,14,2018,R,55,10,0.75,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,-0.23477176584115989,-0.3292722277519658,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6222222447395325,0.6888889074325562,0.0,1.0,1
China,16,15,Sainz,Leclerc,14,2018,R,55,16,0.75,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,-0.27848206639419926,0.6879135939880299,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.6666666865348816,0.0,1.0,1
China,19,6,Ricciardo,Magnussen,5,2018,R,3,20,0.3,-6014.22705078125,1311.9625244140625,0.4182662099794996,1.6696154906086857,-0.4682973462897506,0.2340416168889563,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54347825050354,0.5111111402511597,0.0,0.0,1
China,21,10,Hulkenberg,Vandoorne,14,2018,R,27,2,0.5,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,-0.5398331371323194,-0.41516960130497027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4888888895511627,0.5555555820465088,0.0,1.0,1
China,22,9,Hulkenberg,Stroll,14,2018,R,27,18,0.45,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,0.3100888332553875,2.449570571067475,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666686534881,0.5333333611488342,0.0,1.0,1
China,24,16,Vandoorne,Stroll,2,2018,R,2,18,0.8,-5133.3388671875,-986.1815795898438,0.2311176749661236,-0.8449956079747258,-0.34222653839277883,-0.3925557436841563,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4888888895511627,0.4888888895511627,1.0,1.0,1
China,25,12,Grosjean,Sirotkin,14,2018,R,8,35,0.6,5434.50634765625,-3601.620361328125,0.1551956888813367,-1.3659660123837578,-0.28025262909267307,-0.3011347555002496,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.5555555820465088,0.0,1.0,1
