Race,Lap,Position,Overtaker,Overtaken,Turn,Year,Session,OvertakerNumber,OvertakenNumber,NormalizedPosition,X,Y,CornerAngle,AverageCornerSpeed,SpeedDelta,DistanceDelta,OvertakerDrsState,isOvertakerSoft,isOvertakenSoft,isOvertakerMedium,isOvertakenMedium,isOvertakerHard,isOvertakenHard,isOvertakerWet,isOvertakenWet,isOvertakerIntermediate,isOvertakenIntermediate,OvertakerTyreLife,OvertakenTyreLife,IsOvertakerFreshTyre,IsOvertakenFreshTyre
China,14,13,Hulkenberg,Leclerc,5,2018,R,27,16,0.65,-6014.22705078125,1311.9625244140625,0.41826620997949965,273.0,-4.67498779296875,209.8341827392578,0,1,1,0,0,0,0,0,0,0,0,0.644444465637207,0.7111111283302307,0,1
China,14,14,Hulkenberg,Gasly,4,2018,R,27,10,0.7,-4096.869140625,-1006.836669921875,0.06050619941584581,194.0,-18.0,22.06277847290039,0,1,0,0,1,0,0,0,0,0,0,0.644444465637207,0.7111111283302307,0,1
China,14,17,Ocon,Ericsson,11,2018,R,31,9,0.85,-1811.59228515625,6056.27783203125,0.2105388799718845,102.0,-5.7458343505859375,77.7522201538086,0,1,1,0,0,0,0,0,0,0,0,0.717391312122345,0.7111111283302307,1,1
China,15,15,Sainz,Gasly,2,2018,R,55,10,0.75,-5133.3388671875,-986.1815795898438,0.2311176749661236,104.64583466666666,-9.0,1.5352777242660522,0,1,0,0,1,0,0,0,0,0,0,0.6222222447395325,0.6888889074325562,0,1
China,16,15,Sainz,Leclerc,4,2018,R,55,16,0.75,-4096.869140625,-1006.836669921875,0.06050619941584581,194.0,-9.82916259765625,215.9008331298828,0,1,1,0,0,0,0,0,0,0,0,0.6000000238418579,0.6666666865348816,0,1
China,19,6,Ricciardo,Magnussen,7,2018,R,3,20,0.3,-3495.4052734375,611.8964233398438,0.2615597309424564,266.45833386666675,-24.0,27.84833335876465,0,1,1,0,0,0,0,0,0,0,0,0.54347825050354,0.5111111402511597,0,0
China,21,10,Hulkenberg,Vandoorne,2,2018,R,27,2,0.5,-5133.3388671875,-986.1815795898438,0.2311176749661236,104.64583466666666,-5.066673278808594,24.476110458374023,0,1,1,0,0,0,0,0,0,0,0,0.4888888895511627,0.5555555820465088,0,1
China,22,9,Hulkenberg,Stroll,16,2018,R,27,18,0.45,2978.087890625,-910.5693969726562,0.22355357925000544,174.12500266666666,-8.0,0.4402777850627899,0,1,1,0,0,0,0,0,0,0,0,0.46666666865348816,0.5333333611488342,0,1
China,24,16,Vandoorne,Stroll,10,2018,R,2,18,0.8,600.0055541992188,1968.2391357421875,0.016638236806516066,200.0,-7.0,40.69111251831055,0,1,1,0,0,0,0,0,0,0,0,0.4888888895511627,0.4888888895511627,1,1
China,25,12,Grosjean,Sirotkin,10,2018,R,8,35,0.6,600.0055541992188,1968.2391357421875,0.016638236806516066,200.0,-7.0,36.66416549682617,0,1,1,0,0,0,0,0,0,0,0,0.4000000059604645,0.5555555820465088,0,1
