Race,Lap,Position,Overtaker,Overtaken,Turn,Year,Session,OvertakerNumber,OvertakenNumber,NormalizedPosition,X,Y,CornerAngle,AverageCornerSpeed,SpeedDelta,DistanceDelta,OvertakerDrsState,isOvertakerSoft,isOvertakenSoft,isOvertakerMedium,isOvertakenMedium,isOvertakerHard,isOvertakenHard,isOvertakerWet,isOvertakenWet,isOvertakerIntermediate,isOvertakenIntermediate,OvertakerTyreLife,OvertakenTyreLife,IsOvertakerFreshTyre,IsOvertakenFreshTyre
China,14,13,Hulkenberg,Leclerc,14,2018,R,27,16,0.65,5434.50634765625,-3601.620361328125,0.15519568888133675,69.76666879999999,8.354164123535156,2.5041663646698,0,1,1,0,0,0,0,0,0,0,0,0.644444465637207,0.7111111283302307,0,1
China,14,14,Hulkenberg,Gasly,6,2018,R,27,10,0.7,-6594.7578125,3667.179443359375,0.2878258674113974,95.57500159999998,24.387496948242188,3.486388921737671,0,1,0,0,1,0,0,0,0,0,0,0.644444465637207,0.7111111283302307,0,1
China,14,17,Ocon,Ericsson,14,2018,R,31,9,0.85,5434.50634765625,-3601.620361328125,0.15519568888133675,69.76666879999999,6.09722900390625,103.758056640625,0,1,1,0,0,0,0,0,0,0,0,0.717391312122345,0.7111111283302307,1,1
China,15,15,Sainz,Gasly,14,2018,R,55,10,0.75,5434.50634765625,-3601.620361328125,0.15519568888133675,69.76666879999999,6.589286804199219,18.182222366333008,0,1,0,0,1,0,0,0,0,0,0,0.6222222447395325,0.6888889074325562,0,1
China,16,15,Sainz,Leclerc,14,2018,R,55,16,0.75,5434.50634765625,-3601.620361328125,0.15519568888133675,69.76666879999999,6.075000762939453,187.90916442871094,0,1,1,0,0,0,0,0,0,0,0,0.6000000238418579,0.6666666865348816,0,1
China,19,6,Ricciardo,Magnussen,5,2018,R,3,20,0.3,-6014.22705078125,1311.9625244140625,0.41826620997949965,273.0,3.8416748046875,112.1763916015625,0,1,1,0,0,0,0,0,0,0,0,0.54347825050354,0.5111111402511597,0,0
China,21,10,Hulkenberg,Vandoorne,14,2018,R,27,2,0.5,5434.50634765625,-3601.620361328125,0.15519568888133675,69.76666879999999,3.0,3.8494443893432617,0,1,1,0,0,0,0,0,0,0,0,0.4888888895511627,0.5555555820465088,0,1
China,22,9,Hulkenberg,Stroll,14,2018,R,27,18,0.45,5434.50634765625,-3601.620361328125,0.15519568888133675,69.76666879999999,13.0,481.8580627441406,0,1,1,0,0,0,0,0,0,0,0,0.46666666865348816,0.5333333611488342,0,1
China,24,16,Vandoorne,Stroll,2,2018,R,2,18,0.8,-5133.3388671875,-986.1815795898438,0.2311176749661236,104.64583466666666,5.3249969482421875,7.622777462005615,0,1,1,0,0,0,0,0,0,0,0,0.4888888895511627,0.4888888895511627,1,1
China,25,12,Grosjean,Sirotkin,14,2018,R,8,35,0.6,5434.50634765625,-3601.620361328125,0.15519568888133675,69.76666879999999,-6.054168701171875,22.877222061157227,0,1,1,0,0,0,0,0,0,0,0,0.4000000059604645,0.5555555820465088,0,1
